label;label_text;text
1;vague;We support these on-the-ground  programs aimed at improving transparency  for responsible sourcing and reducing  human rights risks, including forced labor.
1;vague;Decarbonization Steering Committee Provides strategic support and decisions regarding CN's   decarbonization investments and projects.
1;vague;We are intentional about  identifying avoided deforestation and removal projects  that are of the highest standard and that achieve  meaningful impact.
0;not vague;This reduces the carbon footprint  of the data center and completely eliminates the need  for large diesel fuel storage systems and diesel engine  emissions that would impact the local community.
1;vague;Steel is critical to the development of clean energy  technologies that will make societys transition to  a low-carbon future a reality.
0;not vague;Reducing ammonia from our  discharge helps us maintain compliance while improving  wastewater discharge parameters.
0;not vague;We reduced Apples  facilities energy use by  69.4 million kilowatt-hours  through efficiency efforts  implemented in 2022.
0;not vague;Alibaba Cloud pursues low water usage.
0;not vague;In 2022,  turnover increased slightly to 8.8%.
0;not vague;We participate on the Board of Directors of the Technology Coalition, the  leading industry working group fighting online child exploitation.
1;vague;We  have systematically considered the demand for  talent in rural revitalization and have provided  targeted support for rural talent revitalization.
0;not vague;The project funds  innovative natural flood- management initiatives  that will create multiple  benefits for nature, while  building greater climate  resilience within the wider  community.
0;not vague;Hens in both cage-free and  free-range housing are provided with litter,  perches and nest boxes.
0;not vague;One of the most important  issues impacting our planet is climate change, and  we are doing our part to reduce our GHG emissions  by pursuing proven and breakthrough technologies  for decarbonization.
1;vague;We continue to improve energy efficiency across our networks and facilities.
0;not vague;For example, Kraft Heinz partnered with scientists at the Wyss Institute at Harvard University  to create a micro-encapsulated enzyme product that can convert sugar to healthy fiber in  the human gut.
0;not vague;Scheduled to be  operational by mid 2024, it will generate up  to 58.2 million kWh over 25 years, achieving  an annual carbon-emission saving of 386  tonnes.
1;vague;Intime Department  Hangzhou Wulin Store has taken the lead in  achieving carbon neutrality.
0;not vague;This process  improvement has the potential to save millions of gallons  of freshwater annually when applied at scale.
1;vague;We put the customer at the centre of everything we do so we   can provide faster and more consistent, reliable service.
0;not vague;We also help suppliers source materials  that are safer alternatives, which provide the necessary  level of performance and are also better for people  and the environment.
1;vague;Our challenge, to transform  our ambition into rapid  decarbonization, extends beyond  our data centers and offices,  including emissions from the  server components our suppliers  manufacture to our employeesì???  commutes.
0;not vague;Electric vehicles (EVs) are a key emerging  technology to help decarbonize our roads   and the shift toward EVs is changing the  automotive industry as we know it.
0;not vague;Machine   learning will be used to accelerate the development and formulation   of the polyol molecular platform and foams to meet manufacturability,  performance, and cost metrics while improving sustainability as   measured through Life Cycle Assessment (LCA).
0;not vague;The aspirational goal for Linde is to achieve 30 percent female  representation at all levels in Lindes global professional employee  population by 2030.
0;not vague;It has also  dived into supply chain management and strengthened  cooperation with partners in planting, breeding, and  processing to provide consumers with cost-effective  organic produce with sustainable planting and farming.
0;not vague;Through long-term efforts and capacity  building, we aspire to become a builder and leader in  digital and intelligent circular logistics.
0;not vague;These sites have been third-party verified by UL Solutions against  the UL 2799 Zero Waste to Landfill Environmental Claim Validation  Procedure (ECVP).
0;not vague;They lead business- and  functional-level internal and external engagement on sustainable  development and coordinate the implementation of local sustainable  development action plans and Lindes Sustainable Development  Management System (SDMS).
0;not vague;To minimize the use of packaging materials from the source,  we have introduced recyclable boxes, baskets, and pallets in  multiple processes such as distribution, sub-package, and  transportation.
0;not vague;Another key aspect of our community relations work   is our inclusion of Environmental Justice (EJ) principles.
0;not vague;We  reduced the thickness of wrapping film while maintaining  its effectiveness, therefore reduce the overall amount of  packaging materials used.
0;not vague;Feature Apple calls on global supply chain  to decarbonize by 2030 Apple has made significant progress in reducing  emissions in our supply chain through work on energy  efficiency and renewable energy (see page?ó22).
1;vague;Whenever this service is needed, we strive to use  environmentally conscious recycling vendors.
0;not vague;As a signatory to the Catalyst Accord 2022, CN is committed to  accelerating the advancement of women in business.
0;not vague;Sustainable Development Goals (SDGs), Linde's SD 2028 Goals and Community Engagement  Community engagement efforts seek to make a lasting impact on communities and to address enduring problems.
0;not vague;In procurement and  IT, we have now also created expertise  and resources to enable us to achieve  our climate targets in 2030.
1;vague;We provide a green, healthy, safe,  and vibrant work environment for our employees  while promoting a green and low-carbon mode of  working.
0;not vague;These and other innovations helped us increase our use  of recycled and?órenewable content to 20 percent of all the  material shipped in products in 2022.
1;vague;This information helps  us better protect the people who design, make, use,  and recycle our devices.
0;not vague;Hydrogen is a cornerstone of the companys clean energy strategy.
0;not vague;We also hope to  empower our peers in their pursuit of carbon neutrality  and engage investors through financing options, such as  green bonds.
0;not vague;We remain committed to using vehicles and technology to expand access and provide equitable  opportunities for people and communities to move forward.
0;not vague;We have taken measures such as smart energy management, clean energy  sourcing, and solar panel deployment.
0;not vague;This product is reusable and  is an important protective barrier when  shipping products to reduce wastage.
0;not vague;We continue to stress the urgency and value of an  ethical and transparent supply chain and are dedicated to the eradication of slavery and  human trafficking.
0;not vague;Since 2009, we have collected  over 7 million pounds of e-waste.
0;not vague;In October 2022, employees from our Toledo DR   plant joined the Maumee Valley Habitat for Humanity   for Rock the Block.
0;not vague;We have developed simple packaging solutions tailored  to specific industries, continuously increased the use  of original boxes during shipment, and used reusable  delivery bins in both warehouses and transport.
1;vague;Helping our  customers, communities and  partners be more secure today  is a significant part of our  sustainability ambition.
0;not vague;Decarbonizing our Vessel Fleet Our maritime shipping fleet offers safe and highly fuel-efficient  transportation services on the Great Lakes and is continually upgraded  to meet strict emissions standards.
0;not vague;As a result, Metas operations have produced net zero  emissions since then.
1;vague;BioNTech plans to increase the personnel in this depart- ment and provide it with the needed resources to achieve the  climate protection targets set by the Management Board.
0;not vague;Recently, we installed   a new driver-centric fleet management system to improve hours   of service management, enable a paperless workflow, and to   drive further gains with respect to accident prevention and fuel  efficiency.
1;vague;The  information that we share through material specifications  benefits our suppliers and those that we collaborate with  in the industry.
1;vague;This is why we have  set aggressive targets to reduce our products energy  usage.
0;not vague;In 2019, we launched a pilot to seek to eliminate hazardous discharge and increase water efficiency from anodizing.
0;not vague;Focusing on effective water management, we currently utilize  only recycled or brackish water sources for our Permian hydraulic fracturing  operations.
0;not vague;This continued  engagement is central to our partnership and to our  shared efforts to promote smarter chemistry in our  products and processes.?ó
0;not vague;These insights into the environmental benefits of shipping via CNì???s transcontinental network empower  customers to make data-driven decisions that support their climate objectives.
0;not vague;Also in 2021, we joined the Business Ambition for 1.5?îC and   the United Nations Race To Zero campaign.
0;not vague;We are working  with commercial and academic partners to investigate  and advance projects focused on improving energy  efficiency, industrial electrification, carbon capture  utilization and storage (CCUS), and clean electricity   and fuels such as hydrogen.
0;not vague;Our recycled water  comes mostly from municipal treatment  plants, with less than 5 percent coming  from onsite treatment.
1;vague;How we help address challenges,  close gaps and unlock opportunities  to advance climate transition and  drive inclusive growth.
1;vague;BioNTech  carefully monitors developments in corporate responsibility to  respect human rights at a national, European and international level.
0;not vague;Having fewer trucks on   the road improves urban air quality, reduces  traffic congestion, and road maintenance   costs, and helps fight climate change by  lowering GHG emissions.
0;not vague;Besides, through the Carbon88 ledger platform, we offer consumers a  convenient experience to access a wide variety of Low-carbon Friendly products supply and benefits wherever  possible.
0;not vague;This new technology  is a key component in achieving an effective transition to a  lower-carbon future.
0;not vague;Peanut skins being collected at our  Mont Royal facility that will be diverted  to anaerobic digestors for energy  recovery.
1;vague;We also provide employees  with competitive incentives linked to performance.
0;not vague;To reach neutrality, we focused on driving  energy efficiency improvements and transitioning our  facilities to 100 percent renewable electricity, which we  achieved in 2018.
1;vague;At Goldman Sachs, we help inform our clients on the circular economy through  our research and applied insights.
1;vague;In this way we achieve our initial goal  of giving full play to the power of the platform ecosystem to drive the transformation to a digital  circular economy from the supply and consumption sides.
0;not vague;We believe that transparency of our GHG emissions data and our progress is key to achieving carbon  neutrality.
0;not vague;Some device parts can also be reused.
0;not vague;Learn more about how CN is working to improve efficiency and  reduce emissions: vimeo.com/831616714
0;not vague;Apples commitment is to use 100 percent recycled cobalt, on a mass  balancesystem basis, in all Apple-designed batteries beginning in  fiscal year 2025.
1;vague;As we move toward recycled and  renewable content, we are joined in our efforts by many  partners.
0;not vague;We strive to do our part by  operating within energy-efficient  networks and data centers  and by working to reduce our  energy, waste, and materials  consumption to protect the  planet for future generations.
0;not vague;We have also gone paperless in the office, replacing  paper signing with electronic signing of legal  contracts, making the process efficient, secure, and  low-carbon.
0;not vague;Ford has pledged that at least 10% of the companys primary  aluminum and steel purchases will have near-zero carbon emissions  by 2030.
0;not vague;To facilitate smart energy  conservation and efficiency  improvement Zhangbei Data Center has continued to implement an efficient energy- saving strategy and fully utilized advanced energy-saving technology, with  its PUE decreasing to 1.19 as of March 31, 2023.
0;not vague;KHMS is one of the key drivers of our sustainable manufacturing  strategy as it guides the implementation of practices to reduce water use, energy use,  GHG emissions, and waste output.
0;not vague;We  are transforming the way we use resources in each  link throughout our own operations and across  the value chain, while continuously enhancing our  digital energy management.
0;not vague;In close coordination with the CSR Steering Board, a working group  is conducting a comprehensive review of BioNTechs existing  animal  welfare measures with the goal of strengthening the  Companys  animal welfare management.
0;not vague;The V Team is actively engaged in our efforts to realize our goals and reduce our  collective impact on the environment.
0;not vague;To align with our corporate goal,  we committed to a 25% reduction in GHG emissions  within 10 years.
0;not vague;3M consequently committed to phasing  out these chemicals by 2025.
0;not vague;Womens CoLab was launched with community partners to provide women with  the resources necessary to succeed in an increasingly digital economy.
0;not vague;During her tenure  as a police officer, Katie received a Distinguished  Service Award for helping to save several young  adults from a home due to a carbon monoxide  leak.
0;not vague;Taz, which helps recycle  modules by separating magnets containing rare earth  elements from audio modules, is designed as an  alternative to the conventional shredder that many  recyclers rely on.
0;not vague;TRUE requires 90 percent diversion  or higher from the landfill without the use of waste-to-energy to  achieve the TRUE-certified project designation.
0;not vague;One promising solution to improved recycling arises from the technological advancements in  pyrolysis, a form of chemical recycling.
0;not vague;The aim of  the Food Waste Coalition of Action is ì???to halve per capita global food waste at the retail  and consumer levels, and to reduce food losses along production, and supply chains  including post- harvest losses.ì???
1;vague;We hold ourselves and our supply chain accountable for responsible sourcing practices and we collaborate with  suppliers, partners and others in the industry to strengthen and advance responsible sourcing practices around the world.
0;not vague;Our cloud  computing has empowered clients to reduce 6.863  million MtCO2e of emissions.
0;not vague;Together with brand groups, we are building  low-carbon consumption awareness and creating new exclusive scenarios for low-carbon  consumption.
1;vague;Thats why  Apple believes thatì??óadvocating for  strong climate policies is a core part  of our climate strategy.
0;not vague;These certifications also reflect  efforts working and coordinating with local partners, from  composters to specialty recyclers capable of handling  specific waste streams, like plastic wraps and foams.
0;not vague;While we expect our energy efficiency and renewable energy  initiatives to bring us close to achieving operational net zero, we will eventually need to  purchase carbon offsets for the remaining emissions that we cannot eliminate directly.
0;not vague;We have been carbon neutral for our corporate emissions  since April 2020.
1;vague;As we take leadership of the electric vehicle revolution, Ford supports   a just transition by preparing our workforce and local communities for   the transition to EVs.
0;not vague;Our goal is to provide cleaner, more sustainable  transportation services to our customers.
0;not vague;Together, we have produced 166,000,000 meals within our Heifer Projects, and even more  inspiring is their commitment to create a sustainable solution to end the hunger crisis in  our world.
0;not vague;The Responsible Business Council, Strategic Leadership Council, Verizon  Leadership Council and Board of Directors are regularly updated on our strategy for managing climate-related risks and  opportunities and our progress in meeting our climate-related targets.
0;not vague;The project  aims to capture up to 2.8 million tons of carbon dioxide  (CO2) per year for permanent geological sequestration.
0;not vague;We know that preventing and minimizing waste  is not only good for the planet but also helps us realize operational  efficiencies while engaging our employees in caring for their work and  natural environments.
0;not vague;All gold in Apple products is responsibly sourced, whether its primary or  recycled.
0;not vague;We can do so  by reducing our freshwater withdrawals and returning  clean water to the watershed.
1;vague;In parallel with our  emissions reduction  efforts, scale up  investments in carbon  removal projects, including  nature-based solutions  that protect and restore  ecosystems around  the world.
0;not vague;UL Solutions?órequires at least 90 percent diversion  through methods other than waste-to-energy to achieve Zero Waste  to Landfill (Silver: 90-94 percent, Gold: 95-99 percent, and Platinum:  100 percent) designations.
0;not vague;Alibaba Cloud clients have applied our cloud  solutions in replacing traditional locally deployed  data centers, effectively helping clients reduce 6.863  million MtCO2e of emissions.
0;not vague;At our Burns Harbor facility, we  are working with our slag processor to implement slag  granulation which will reduce fugitive air emissions   and improve slag byproduct reuse.
0;not vague;By June 2022,  we?óhad exceeded our 2022 goal of ì?10 billion  of auto-enrolment assets placed into low  carbon equities and climate transition  strategies.
0;not vague;We reduced our overall emissions  across scopes 1, 2, and 32 by  over 45 percent compared  with our 2015 baseline year.
0;not vague;In 2022, our use of alternative water was 8% in the water scarce areas.
1;vague;Our rail lines are the threads that weave together the very fabric of North America, contributing to economic prosperity, improving  quality of life, and supporting the shift to a cleaner, more sustainable  economy.
0;not vague;We are committed to developing solutions to preserve biodiversity and  restore ecosystems across our facilities and the surrounding communities  through programs like the Ford Wildlife Foundation (FWF) and the Bronco  Wild Fund.
0;not vague;Ford views batteries of end-of-life vehicles as a crucial part of our  supply?óchain, and are committed to increasing battery recycling over time.
0;not vague;The PWCI also supports programs that improve water quality and availability  for both wildlife and agricultural purposes.
0;not vague;We regularly review our consumption and look for ways  to use water more efficiently.
0;not vague;For  example, our partnership with Kruger, a North American leader in paper  and paperboard recycling and a long-standing CN customer, has  enabled us to ensure used rail ties are transformed into renewable  energy instead of being sent to landfill.
0;not vague;Walgreens will take private, public,  and nonprofit organizations  dedicated to promoting  equity, social change and  positive economic impact  to advance a more inclusive  economy.
0;not vague;These include the Apple Watch Ultra antenna lines on the housing, which use plastic from  bottles that have been transformed into a stronger, higher-performance material.
1;vague;We have become an industry leader in promoting new  energy consumption through collaborative scheduling  of computing power and electric power.
0;not vague;We calculate our use of recycled cobalt on a mass  balanceì???system basis at the end of each fiscal year.
1;vague;The bulk of Apples recycled content data is certified  and thus verified by an independent third party.
0;not vague;For 2022, this includes investment to jointly  build, own and operate a large-scale carbon capture and liquefaction  facility with Heidelberg Materials.
1;vague;Based on 10 uni- versal principles and the Sustainable Development Goals (SDGs), it  pursues the vision of an inclusive and sustainable global economy  for the benefit of all people, communities and markets.
0;not vague;Planted across 1,880 hectares - the equivalent  of over 2,600 football pitches - the restored  temperate rainforest will remove an estimated  808,000 tonnes of carbon emissions from the  atmosphere over the next 100 years.
0;not vague;Replacing traditional IT with cloud computing to boost efficiency  and reduce emissions Empowering the green and intelligent transformation Partnering with the power industry.
0;not vague;From an ESG perspective, the business is well-placed as a  provider of returnable, reusable and long-life packaging.
0;not vague;In 66 percent  of projects, volunteers reported that the community engagement projects provided opportunities to engage with customers.
0;not vague;As part of this effort, we have set a platform  decarbonization target of facilitating 1.5 gigatons  of GHG emission reduction over 15 years across the  ecosystem in the Alibaba Group Carbon Neutrality  Action Report in December 2021.
0;not vague;The creation of Environment and Energy teams in Marburg and  Mainz, comprising employees from various functions who meet  regularly to design ways to make BioNTechs everyday operations  more sustainable.
0;not vague;In 2022, TemperPack  launched WaveKraft, an on-demand  paper insulation system, and  acquired KTM Industries, adding the  compostable Green Cell Foam to its  portfolio of sustainable solutions.
0;not vague;For example,  we are continuously upgrading our locomotive fleet, having added  about 300 efficient high-horsepower locomotives since 2019.
1;vague;Our strategic objectives have been established to drive sustainable value while  positioning ExxonMobil for long-term success in a lower-emissions future.
0;not vague;For the fourth consecutive year, our Carbonomics initiative has released its carbon abatement cost curve, delineating  what is needed to achieve decarbonization goals in line with the UN Sustainable Development Goals.
0;not vague;In 2023, our Viborg, Denmark, facility became the third to receive TRUE Platinum certification, which requires more  than 90 percent of waste from a facility to be recycled, composted, or redirected for reuse.
0;not vague;The first phase of our work on the Austin campus is  saving 5.7 million kilowatt-hours per year.
1;vague;Meta Boost Guide to Greenì???  helps these businesses grow  sustainably.
0;not vague;In 2022, the company sourced 18 TWh low- carbon energy, or 43 percent of all its purchased electricity.
0;not vague;Together, we work to use clean  energy as efficiently as possible at every point in our  supply chain, creating leaner, more efficient factories all  over the world.
0;not vague;Building on  the 10 principles, signatories are called upon to promote the  general  goals of the United Nations, particularly the Sustainable Develop- ment Goals.
0;not vague;Conducting scientific investigations,  raising public awareness, and  supporting biodiversity conservation  in the Yeyahu Wetland Alibaba Foundation has been actively supporting the Guangzhou Green Data Environmental Service  Center (Guangzhou Green Data) since its establishment in 2015.
0;not vague;Using energy more efficiently, procuring power from carbon-free   sources, reducing GHG emissions from our operations, and making our  transportation and logistics more sustainable and efficient all play a   role in reaching our carbon neutral future.
0;not vague;Given that 77% of EMEA  consumers consider how  sustainable a brand is before  trying it, embracing the green  transition is an important step for  the future of small businesses.
0;not vague;From 2005 through 2021, we have invested more than  $127 million to help community-based and global partners implement programs that  directly benefit women.
0;not vague;To support our Responsible AI Program, in 2022, we initiated cross-functional internal conversations to develop foundational  principles for the governance, transparency and respect for human rights in the context of Verizonì???s development and use of  AI.
0;not vague;Rail has tremendous  potential to reduce the environmental  impact of transportation and we are  actively working with many of our  customers and supply chain partners  to help them reduce their emissions.
0;not vague;A non-binding United Nations pact to  encourage businesses and firms  worldwide to adopt sustainable and  socially responsible policies, and to  report on their implementation.
1;vague;Climate Governance The continuous development and execution of the Companys  climate protection strategy shows the increasing attention paid to  climate protection and reducing BioNTechs GHG emissions.
0;not vague;All NVIDIA chips and graphics  cards support EPEAT conformance, and we  provide information to customers seeking to  register their products with the program.
0;not vague;The Supplier Clean Energy Program now  has over 20 gigawatts of clean energy commitments,  of which nearly two-thirds are operational.
0;not vague;The value chain carbon intensity  was 8.7 MtCO2e/million RMB, a  year-over-year decrease of 5.7%.
0;not vague;Combining these efforts with our projects on carbon removal and carbon offsets, we  have achieved a year-over-year decrease of 5.7% 1 of our carbon intensity throughout the value  chain.
0;not vague;To support efforts to  scale the use of sustainable  construction materials such  as low-carbon concrete, Meta  became a sponsoring member of  the American Concrete Institutes  Center of Excellence for Carbon  Neutral Concrete in 2022.
0;not vague;At CN,   we are also avid recyclers, diverting  >90% of our operational waste   from landfills.
0;not vague;We removed the legendary plastic shaker bag from our Shake and Bake portfolio, eliminating approximately 900,000 pounds of plastic waste annually.
0;not vague;Not only will this new program provide support to our suppliers in  building a plan toward carbon neutrality, but it will also help Ford  identify and prioritize key focus areas and those suppliers requiring  extra support.
0;not vague;On a regular basis, Linde works with its carriers on safety training, initiatives and sharing best practices to continuously improve upon operational  efficiency, reduce environmental hazards and promote security and human rights.
0;not vague;Zero waste Minimize overall waste generated and eliminate waste sent to landfill from our  manufacturing supply chain as well as corporate offices, data centers, and  retail stores.
1;vague;Our Canada team has been leading the way on diverting  food waste in its manufacturing operations.
0;not vague;We have prioritized projects across our global manufacturing   network in the areas of water conservation, energy use and greenhouse gas emissions (GHGs), waste reduction, and packaging.
0;not vague;We collaborate with standard- setting bodies, trade associations, and NGOs to achieve  this ì??? developing tools, standards, and mechanisms to  drive the identification and adoption of smarter chemicals  throughout our supply chain.
0;not vague;Our global network of lubricants blending and packaging plants have a Zero Waste to  Landfill Silver validation[8] from Underwriters Laboratories (UL).
0;not vague;The Alibaba Special Protection Plan for Geographical  Indications has been initiated with the aim to  work with industry associations and government  departments in various regions to optimize the  market environment for GI-certified products.
0;not vague;We are innovating approaches  to reuse and working with local businesses to create new  recycling opportunities.
0;not vague;At the same time, we are committed  to stewarding water resources and  sending zero waste to landfill.
0;not vague;Our system recovers aluminum scrap during parts stamping but keeps the  various aluminum alloys separated so they can be recycled back into fresh  alloy for new vehicles.
0;not vague;We are focused on managing and minimizing the waste we generate to  reach true zero waste to landfill across our global operations.
0;not vague;Two projects that increased recycling and reduced   waste disposal occurred at our Dearborn Works and  Riverdale sites.
0;not vague;As part of  the agreement, DTE will add 650 megawatts of new solar energy  capacity in Michigan for Ford by 2025.
0;not vague;Building on this  with further FSA audits, we completed the year with 75 percent sustainably sourced Heinz  ketchup tomatoes and are well on track towards our 2025 target of 100 percent.
0;not vague;We consolidated low- stock cold warehouses and reduced refrigeration  loads by capping the cold warehouses' horizontal  freezers to save energy and reduce emissions.
0;not vague;While Verizon is committed to building on-site green energy systems  that directly power our buildings, we also believe that the benefits of renewable power  should be readily available to others.
0;not vague;Ford and  dealer employees will join the tree planting effort in July 2023.
0;not vague;Lindes products contribute positively to the health and wellbeing of  our customers.
0;not vague;Increased the number of sites participating in Zero Waste program  from approximately 700 sites in 2021 to roughly 760 sites by the end  of 2022, with Zero Waste achievement on track for 2028 target.
0;not vague;We can limit the use of  freshwater.
0;not vague;As of March 31, 2023,  Taobao and Tmall have already had 409 brands  totaling 1.91 million products that include 41 first- class categories of Low-carbon Friendly products 13.
1;vague;We are committed to reducing the environmental impact of  our operations and to providing more environmentally friendly  solutions for our customers through our cloud-based platform.
0;not vague;Animal Welfare Outreach and Education Kraft Heinz participates in various animal welfare outreach and education initiatives.
0;not vague;Our EcoConnexions Employee Engagement program in partnership with Earth Rangers empowers our employees to conserve energy, reduce waste, and improve housekeeping at CN yards and offices.
0;not vague;Our waste mitigation hierarchy  prioritizes waste avoidance when feasible and when  waste is unavoidable, we work to reduce, recover or  reuse it whenever possible.
1;vague;These actions support our 2030  greenhouse gas emission reduction plans and our net-zero by 2050 ambition concerning  Scope 1 and 2 emissions at operated assets.
0;not vague;We are on track to source 100% carbon-free electricity in Michigan by  2025 through partnerships with local utilities.
0;not vague;Our data center in Newark, California, is powered by  100 percent renewable energy.
0;not vague;Moving  long-haul freight by train instead of truck can reduce GHG emissions   by up to 75% and CN consumes about 15% less locomotive fuel per GTM  than our peers.
0;not vague;The company focuses on practical policy solutions that recognize the increasing global  demand for affordable and reliable energy while enabling scalable development and  deployment of lower- and zero- greenhouse gas emission technologies.
0;not vague;Our PF for Safety,  Health & Environment is supported by targets for personnel safety,  distribution safety and product safety, and in the environment  area, for sustainable productivity, water and waste.
0;not vague;We strive to responsibly utilize  raw materials for cleaner iron and steelmaking to develop sustainable steel solutions for the transition to a low- carbon economy.
0;not vague;The $2 billion conversion of our Cologne, Germany plant operations  includes energy efficiency solutions that are projected to save 2,600 MWh  of power and reduce carbon dioxide emissions by more than 2,000 metric  tons of CO2e annually.
0;not vague;We are reducing the amount of waste generated in our  corporate operations and directing more to recycling  programs as an effort that has continued since launching  our Zero Waste Program in 2018.
0;not vague;Representing a growing global  network of leading insurance  industry organisations,  ClimateWise helps to align its  members expertise to directly  support society as it responds to  the risks and opportunities of  climate change.
0;not vague;Support policies that promote energy efficiency  across all sectors, including for manufactured goods.
1;vague;We leverage our expertise as a financial institution to work toward a more  inclusive economy.
0;not vague;For  this project, Meta is supporting  Ducks Unlimited and the Texas  Parks and Wildlife Department to  create a new wetland spanning  63 acres within the Richland  Creek Wildlife Management Area.
0;not vague;Verizon is a member of the U.S. chapter of 1t.orga the Trillion Trees  Platform led by the World Economic Forum and American Forests to support the  global movement to conserve, restore and grow one trillion trees worldwide.
0;not vague;We developed a high-efficiency dry cooler,  which enables WUE (Water Use Efficiency) to drop below  0.1 liters/kWh.
0;not vague;Climate Change The risks and opportunities associated with climate change shape the  way?ówe do business, including our global carbon reduction strategy  focused on reducing emissions from our vehicles, operations, and supply  chain.
